35,y,Ça y est.,This is it.,Ça _____ est.,Ça <b>y</b> est.,[sound:sapi5com-eecab745-974bc9d5-9de5af6b-0d13fdb8-49cd91b4.mp3]
41,moi,Moi je veux ça.,I want that.,_____ je veux ça.,<b>Moi</b> je veux ça.,[sound:sapi5com-8d4390ba-3d2b218f-37e68063-8a4cb709-3478a551.mp3]
42,tout,Je veux tout.,I want everything.,Je veux _____.,Je veux <b>tout</b>.,[sound:sapi5com-e8e23aa8-334054e4-a88d9620-9e16d21d-3ab75f20.mp3]
42,tout,Tout est à moi.,It's all mine.,_____ est à moi.,<b>Tout</b> est à moi.,[sound:sapi5com-9d792071-2daf1105-88ad7f90-e9f7245e-d3f51e0d.mp3]
43,te,Je te veux !,I want you.,Je _____ veux!,Je <b>te</b> veux!,[sound:sapi5com-d4088c71-0d09e59e-75af4236-85892444-a5ecff46.mp3]
48,avec,Je veux être avec vous.,I want to be with you.,Je veux être _____ vous.,Je veux être <b>avec</b> vous.,[sound:sapi5com-274c764f-be7fd3bf-a8d6254f-6890a2b3-533b295f.mp3]
50,fait,Qui a fait ça ?,Who did this?,Qui a _____ ça?,Qui a <b>fait</b> ça?,[sound:sapi5com-70a94d4a-2b2dbce9-9af60aa5-18084b85-c0160de2.mp3]
55,as,Tu as fait ça.,You did that.,Tu _____ fait ça.,Tu <b>as</b> fait ça.,[sound:sapi5com-fa23f156-2726a17a-2c90a191-2e35fd32-9ddb79e6.mp3]
59,ils,Ils sont avec moi.,They're with me.,_____ sont avec moi.,<b>Ils</b> sont avec moi.,[sound:sapi5com-3e1b9a01-9c359b82-21a3dff0-ca7b8d92-1335d9af.mp3]
63,lui,Elle est tout pour lui.,She is everything to him.,Elle est tout pour _____.,Elle est tout pour <b>lui</b>.,[sound:sapi5com-d3e6af6e-ddec198c-3525c942-166b2070-23f31492.mp3]
69,temps,Je veux du temps.,I want time.,Je veux du _____.,Je veux du <b>temps</b>.,[sound:sapi5com-1edac3de-5009a5ea-43f29975-5e8ef493-e27f12b8.mp3]
69,temps,Tout est dans les temps.,Everything is on schedule.,Tout est dans les _____.,Tout est dans les <b>temps</b>.,[sound:sapi5com-e9264800-f0040ae6-21f024c1-4207647b-196d7e1b.mp3]
71,dit,Elle m'a tout dit.,She told me everything.,Elle m'a tout _____.,Elle m'a tout <b>dit</b>.,[sound:sapi5com-92d44a74-d33966eb-30df7e7e-861b4d47-2b95b6d5.mp3]
71,dit,Il ne l'a pas dit.,He did not say so.,Il ne l'a pas _____.,Il ne l'a pas <b>dit</b>.,[sound:sapi5com-ba93ad0f-3884def6-73359bb9-0f40a07d-12fcc52a.mp3]
73,cela,Vous avez fait cela.,You did that.,Vous avez fait _____.,Vous avez fait <b>cela</b>.,[sound:sapi5com-29c3c3fe-74a50272-31af9c85-167be513-b929747f.mp3]
75,ici,Qui est ici avec vous ?,Who's here with you?,Qui est _____ avec vous?,Qui est <b>ici</b> avec vous?,[sound:sapi5com-100900c7-ba57fff3-fb10ecaf-ff0258ac-d55d814c.mp3]
79,comment,Comment est le temps ?,How is the weather?,_____ est le temps?,<b>Comment</b> est le temps?,[sound:sapi5com-620dd306-8ee8df04-eb414391-a0d29a5a-203f1c2e.mp3]
81,toi,Qui est ici avec toi ?,Who's here with you?,Qui est ici avec _____?,Qui est ici avec <b>toi</b>?,[sound:sapi5com-9600fe38-5a6ab2b4-d250ba2e-c40d94f7-16083b9a.mp3]
82,vraiment,Je ne sais pas vraiment.,I don't know for certain.,Je ne sais pas _____.,Je ne sais pas <b>vraiment</b>.,[sound:sapi5com-ac94c8e4-b37e0ee5-93a45c2d-02cf0ca9-431cb976.mp3]
87,quelque,Elle lui dit quelque chose.,She said something to him.,Elle lui dit _____ chose.,Elle lui dit <b>quelque</b> chose.,[sound:sapi5com-895096f8-77c8e8e9-26cf55f8-05380813-c814d50d.mp3]
88,dire,Tu peux tout me dire.,You can tell me anything.,Tu peux tout me _____.,Tu peux tout me <b>dire</b>.,[sound:sapi5com-8ed4fce6-1f890b03-d5280546-235f9ee7-13b522fa.mp3]
89,elles,Pourquoi elles ont fait ça ?,Why did they do that?,Pourquoi _____ ont fait ça?,Pourquoi <b>elles</b> ont fait ça?,[sound:sapi5com-ba7edcb3-fa3937d0-af53b583-8b6c962e-b4883173.mp3]
90,tous,Nous y avons tous été.,We've all been there.,Nous y avons _____ été.,Nous y avons <b>tous</b> été.,[sound:sapi5com-ce66e62e-33e66945-ba77c5d3-efc693c9-5d28d760.mp3]
91,bien,Ça a été très bien.,That was very good.,Ça a été très _____.,Ça a été très <b>bien</b>.,[sound:sapi5com-68f6abc4-4595a1ee-8b922dae-2cc5443b-a26b4e91.mp3]
91,bien,Je veux le faire bien.,I want to make it right.,Je veux le faire _____.,Je veux le faire <b>bien</b>.,[sound:sapi5com-52741c0e-929d1d3a-f1d1d893-cef2f758-ee4d8d3c.mp3]
93,on,On ne dit plus ça.,We don't say that anymore.,_____ ne dit plus ça.,<b>On</b> ne dit plus ça.,[sound:sapi5com-cb9a00bd-7f0640a2-28fd97bc-1fa76cbd-e24a40ee.mp3]
94,aller,Elle m'a dit où aller.,She told me where to go.,Elle m'a dit où _____.,Elle m'a dit où <b>aller</b>.,[sound:sapi5com-1ed36d60-6ccf727c-e2d3117a-32f0bb1a-4651765a.mp3]
95,avoir,Je pense avoir bien fait.,I think I've done well.,Je pense _____ bien fait.,Je pense <b>avoir</b> bien fait.,[sound:sapi5com-ce8563e5-af484b92-9e4e06ad-257584cd-bae6e041.mp3]
96,besoin,Elles ont besoin de lui.,They need him.,Elles ont _____ de lui.,Elles ont <b>besoin</b> de lui.,[sound:sapi5com-b7197f45-78223773-8f4b134e-9f218673-3fee87a6.mp3]
98,beaucoup,Je pense beaucoup à elle.,I think about her a lot.,Je pense _____ à elle.,Je pense <b>beaucoup</b> à elle.,[sound:sapi5com-f758c71a-9df5ae87-b48e084c-a9d100e7-6815c060.mp3]
98,beaucoup,Nous avons beaucoup de temps.,We've got plenty of time.,Nous avons _____ de temps.,Nous avons <b>beaucoup</b> de temps.,[sound:sapi5com-0f364801-3e7316db-3cd5d33c-25ac0376-9280e08b.mp3]
99,là,Elles sont là pour moi.,They're here for me.,Elles sont _____ pour moi.,Elles sont <b>là</b> pour moi.,[sound:sapi5com-028349d7-cf8140da-3a525be3-6d0df375-231ed502.mp3]
104,personne,Personne ne peut le dire.,No one can say.,_____ ne peut le dire.,<b>Personne</b> ne peut le dire.,[sound:sapi5com-53c46deb-21936a3f-f572609a-642c91bc-a0b843f2.mp3]
105,parler,Il aime parler de lui.,He likes to talk about himself.,Il aime _____ de lui.,Il aime <b>parler</b> de lui.,[sound:sapi5com-6e07f41a-f0c5dd43-a7eb78b4-1603cebc-d092414e.mp3]
106,peu,Je peux parler un peu.,I can talk for a bit.,Je peux parler un _____.,Je peux parler un <b>peu</b>.,[sound:sapi5com-cf37e68c-8a1bb89f-0e4e28dc-3d969ab9-75d22931.mp3]
107,trop,Tu en sais trop.,You know too much.,Tu en sais _____.,Tu en sais <b>trop</b>.,[sound:sapi5com-1f2e15a7-bc43aebf-a1507802-83a62226-effd6938.mp3]
108,toujours,Je veux toujours y aller.,I still want to go.,Je veux _____ y aller.,Je veux <b>toujours</b> y aller.,[sound:sapi5com-5fb63782-940a957e-a42c2fbc-a32b9f65-3b92edea.mp3]
108,toujours,Nous sommes toujours là.,We're always here.,Nous sommes _____ là.,Nous sommes <b>toujours</b> là.,[sound:sapi5com-6eeae536-8f091dc7-ca6e5ceb-d5d0d2de-879ac7bd.mp3]
109,voir,Personne ne peut voir.,No one can see.,Personne ne peut _____.,Personne ne peut <b>voir</b>.,[sound:sapi5com-91413c57-f7ba38a0-1264df3e-bbc50b08-7529d3fb.mp3]
110,quoi,Je ne sais quoi dire.,I don't know what to say.,Je ne sais _____ dire.,Je ne sais <b>quoi</b> dire.,[sound:sapi5com-7c2e75b6-94a4bdc8-dded59c9-5bb11b55-ab2f452c.mp3]
112,deux,Nous avons besoin des deux.,We need both.,Nous avons besoin des _____.,Nous avons besoin des <b>deux</b>.,[sound:sapi5com-674078da-35fe20d5-7bacdcdf-7ae41d9c-b9d1a00c.mp3]
114,quand,Je vous aime quand même.,I love you anyway.,Je vous aime _____ même.,Je vous aime <b>quand</b> même.,[sound:sapi5com-3a74c074-7f27ea15-70da52da-32e05a38-be852bf5.mp3]
115,comme,Cette personne est comme moi.,That person is like me.,Cette personne est _____ moi.,Cette personne est <b>comme</b> moi.,[sound:sapi5com-2547a14d-28b830a8-51a3caa5-073c070c-ce7b9061.mp3]
116,maison,Je veux voir votre maison.,I want to see your house.,Je veux voir votre _____.,Je veux voir votre <b>maison</b>.,[sound:sapi5com-c72bf7a5-10f4d929-e25101bb-b7b89f1e-268d021f.mp3]
117,rien,Personne ne m'a rien dit.,No one told me anything.,Personne ne m'a _____ dit.,Personne ne m'a <b>rien</b> dit.,[sound:sapi5com-5199545c-f6328fa9-c6ee9fa1-27c949d5-bce342d3.mp3]
118,argent,Où est votre argent ?,Where is your money?,Où est votre _____?,Où est votre <b>argent</b>?,[sound:sapi5com-b25380dd-edcb75be-79faed39-28bfc8e5-30ad2d07.mp3]
